article_id,keywords tuple
23,"""""""['thị trường', 'phiên', 'cổ phiếu', 'mã', 'ngắn hạn', '32 tỷ', 'phiên hôm nay', 'chứng khoán', 'thị trường hôm nay', 'đường trung bình 20 phiên', 'thực phẩm', 'ngành', 'phiên hôm qua', 'Thị trường chứng khoán hôm nay 23/7/2024 Thị trường chứng khoán hôm nay VN-Index', 'tích cực hôm nay', 'mã cổ phiếu đầu ngành', 'chỉ số thị trường']"""""""
24,"""""""['thưởng', 'Xổ số miền Bắc', 'xổ số Bình Thuận', 'xổ số Khánh Hòa', '•', 'xổ số Bình Định', 'xổ số Bình Dương', 'xổ số Bình Phước', 'xổ số Thái Bình', 'xổ số An Giang', 'xổ số Hậu Giang', 'xổ số Kiên Giang', 'xổ số Tây Ninh', 'xổ số Tiền Giang', 'xổ số Quảng Ngãi', 'xổ số Quảng Trị', 'xổ số Đồng Nai', 'xổ số Đồng Tháp', 'xổ số Long An', 'Công ty xổ số', 'xổ số Đà Nẵng', 'xổ số Đà Lạt', 'xổ số Vĩnh Long', 'xổ số Đắk Nông']"""""""
25,"""""""['Công ty Việt Lào', 'khai thác', 'khoáng sản', 'giấy phép khai thác khoáng sản', 'mỏ khoáng sản', 'vật liệu san lấp', 'hành vi khai thác', 'công suất', 'giấy phép', 'UBND tỉnh Thanh Hóa', 'huyện Triệu Sơn', 'Thanh Hóa', 'hành vi vi phạm', 'vi phạm', 'kinh doanh khoáng sản']"""""""
26,"""""""['cổ phiếu QCG', 'Quốc Cường Gia Lai', 'Nguyễn Thị Như Loan', 'cổ phiếu', '3,2 tỷ đồng', '33 tỷ đồng', '121 tỷ đồng']"""""""
27,"""""""['TBNN', 'hồ', 'thủy điện', 'kWh', 'hồ thủy điện', 'điện', 'đầu', 'sản lượng điện', 'nhà máy thủy điện', '2023', 'cao TBNN', '7', 'EVN', 'sản lượng', 'trung bình', 'Sản lượng thủy điện', 'Sản lượng điện', 'Sản lượng']"""""""
28,"""""""['Ảnh', 'QH', 'biên tập viên', 'phóng viên']"""""""
29,"""""""['ẩm thực', '2024', 'sản phẩm', 'Liên hoan văn hóa ẩm thực xứ', 'thực đơn', 'Sự kiện']"""""""
30,"""""""['công nhân', 'thi công', 'công trường', 'cột', 'công nhân thi công', 'tiến độ thi công', 'Hà Tĩnh', 'công việc', 'công đoạn', 'công nhân lắp', 'Công nhân thi công', 'đội thi công', 'thi công đường dây', 'độ', 'công trường Công nhân', 'thi công lắp đặt', 'hoạt động thi công', 'an toàn thi công']"""""""
31,"""""""['công nhân', 'Ảnh', 'Quốc Huy', 'thi công', 'độ', 'hoàn thành', 'nhà thầu thi công', 'đường dây 500 kV mạch 3', 'tỉnh Thanh Hóa', 'tiến độ', 'tỉnh', 'quyết tâm', 'Thi công', 'công nhân phơi']"""""""
32,"""""""['đường Láng', 'Ngã Tư Sở', 'đường', 'mở rộng', 'tuyến đường Vành đai 2', 'nút giao Ngã Tư Sở', 'đoạn', 'mở rộng đường Vành đai 2', 'giao thông', 'Cầu Giấy', 'Tuyến đường', 'cầu Vĩnh Tuy', 'mở rộng Vành đai 2', 'dự án Vành đai 2 đoạn Ngã Tư Sở', '17.000 tỷ đồng', 'Ngã Tư Sở thông xe', '3.900 tỷ đồng', 'Vĩnh Tuy', 'hoàn thành', 'đô thị', 'khu vực nút giao Ngã Tư Sở']"""""""
33,"""""""['Ảnh', 'Phương Cúc', 'chờ xe buýt', 'xe buýt', 'chờ xe', 'hàng']"""""""
34,"""""""['dự án', 'Bộ trưởng Nguyễn Hồng Diên', 'làm việc', 'vướng mắc', 'Dự án']"""""""
35,"""""""['Ảnh', 'CTV', 'Bắc', 'chiến sĩ', 'cán bộ', 'học sinh miền Nam tập kết', 'đón tiếp cán bộ', 'đồng bào miền Nam tập kết', 'đồng bào', 'tàu tập kết ”', 'tỉnh Thanh Hóa', 'Bắc ”', 'học sinh', 'Nam']"""""""
36,"""""""['di dời', 'doanh nghiệp', 'khu công nghiệp', 'Bình Dương', 'di dời khu công nghiệp']"""""""
37,"""""""['đoạn', 'đường', 'giai đoạn 1', 'triển khai thi công', 'dự án thành phần 1', 'Dự án thành phần 1', 'nút giao', 'cao tốc Vân Phong – Nha Trang', 'Buôn Ma Thuột giai đoạn 1', 'chủ đầu tư', '1', 'quy mô hoàn chỉnh', 'dự án', 'thi công', 'dự án cao tốc']"""""""
38,"""""""['chợ Mai Động', 'chợ', 'hộ kinh doanh', 'Hoàng Mai', 'hàng', 'Hà Nội', 'UBND', 'địa điểm kinh doanh', 'cửa chợ', 'thông báo', 'Ban quản lý chợ Mai Động', 'cánh cổng chợ']"""""""
39,"""""""['bò', 'Tuấn', 'gia đình', 'bò phối', 'đàn bò']"""""""
40,"""""""['mật', 'hộ nuôi ong', 'mật ong', 'mật ong hoa vải', 'đàn ong', 'thùng ong', 'vải', 'khai thác mật', 'mùa hoa vải', 'ong mật', 'chủ đàn ong', 'cầu mật', 'mật vải', 'hộ', '20 kg mật', 'mẫu mật ong', 'huyện Thanh Hà', '30 hộ nuôi ong quy mô', 'Mật ong', 'mật Mật ong hoa vải', 'thu hoạch mật ong', 'cầu ong']"""""""
41,"""""""['địa phương', 'Ảnh', 'đồng bào dân tộc thiểu số', 'nhân dân', 'tỉnh Thanh Hóa', 'huyện Quan Hóa', 'Phiên chợ vùng cao', 'dân tộc', 'sản phẩm văn hóa', 'Quốc Huy', 'văn hóa truyền thống đặc sắc', 'văn hóa truyền thống gắn', 'nghệ nhân dân gian']"""""""
42,"""""""['Khu tưởng niệm Chiến sĩ Gạc Ma', 'Khu tưởng niệm', 'Tổ quốc', 'sự kiện Gạc Ma', '14/3/1988', 'đảo Gạc Ma', 'chiến sĩ Gạc Ma', 'Chiến sĩ Gạc Ma', 'chiến sĩ', 'liệt sĩ Gạc Ma', 'đảo']"""""""
43,"""""""['thụ phấn', 'hoa', 'hoa bưởi', 'phấn hoa', 'nhân công', 'hoa bưởi Diễn', 'công việc thụ phấn', 'hoa bưởi dựa', 'nhụy hoa', 'bưởi Diễn']"""""""
44,"""""""['người dân', 'du khách', 'Chăm', 'tổ chức', 'Người dân', 'Tháp Bà Ponagar', 'văn hóa', 'múa Apsara', 'Tháp Đông Nam', 'nghệ thuật múa Chăm', 'múa Apsara diễn', 'chương trình', 'sân', 'điệu múa', 'múa truyền thống dân gian Chăm', 'múa đội', 'lễ vật', 'hành lễ']"""""""
45,"""""""['xương', 'xương cá voi', 'trưng bày', 'xương cá voi lưng gù', 'Viện Hải Dương học', 'Viện', 'du khách', 'Khu trưng bày mẫu vật', 'xương cá', 'mẫu vật']"""""""
46,"""""""['tháo dỡ', 'công trình', 'công trình sai phạm', 'chủ đầu tư công trình', 'công trình vi phạm', 'sai phạm', 'chủ đầu tư', 'xây', 'công trình xây', 'tháo dỡ công trình vi phạm', 'tháo', '15 công trình']"""""""
47,"""""""['nhánh', 'Nút giao Ngọc Hội', 'Nút giao thông', 'thành phố Nha Trang', 'giao', 'khu vực', 'chuyển giao', 'tỉnh Khánh Hòa', 'Nam', 'người dân', 'tuyến giao thông', 'nhánh N1', 'N3', 'Nút giao Ngọc Hội thông xe']"""""""
48,"""""""['tỉnh', 'lễ', 'CHQS tỉnh', 'Nhân dân', 'Khối sĩ quan', 'Quảng trường 2/4', 'Chủ tịch UBND tỉnh Khánh Hòa', 'Đội hình dự lễ', 'UBND tỉnh', 'tỉnh ...', 'tỉnh Khánh Hòa', 'dân tộc', 'Khối Công an tỉnh', 'nhân dân']"""""""
49,"""""""['cầu', 'thi công', 'cầu Xóm Bóng cũ', 'cầu Trần Phú', 'Ảnh', 'Nha Trang', 'thành phố Nha Trang', 'cầu Xóm Bóng', 'mặt cầu', 'nhịp cầu', 'công trình', 'mặt cầu Xóm Bóng']"""""""
50,"""""""['nhánh', 'N2', 'Nút giao Ngọc Hội', 'N3', 'Dự án Nút giao Ngọc Hội', 'nhánh N1', 'giao', 'công tác giải phóng mặt bằng', 'tuyến nhánh N1', 'Bắc', 'đường 23', 'mặt bằng']"""""""
51,"""""""['sản phẩm', 'sản phẩm gốm sứ Đông Triều', 'gốm sứ Đông Triều', 'sản phẩm gốm', 'gốm', 'thợ gốm Đông Triều', 'Gốm sứ Đông Triều', 'nhiệt độ', 'sản phẩm gốm sứ', 'sản phẩm gốm tốn', 'nghề gốm', 'khách hàng', 'gốm Nghệ nhân gốm sứ Đông Triều', 'sản phẩm gốm sứ Đông Triều đa số', 'thợ', 'nung sản phẩm', 'Sản phẩm thô gốm Đông Triều', 'du khách', 'tác phẩm', 'nghệ nhân', 'Chum sành gốm sứ', 'gốm sứ trang trí']"""""""
52,"""""""['diễn', 'đêm diễn', 'Hà Nội', 'BlackPink', 'Việt Nam', 'Show diễn', 'Hà Nội phát triển công nghiệp văn hóa Show diễn', 'đêm nhạc', 'thế giới']"""""""
53,"""""""['sản phẩm OCOP', 'sản phẩm', 'tỉnh Thanh Hóa', 'tỉnh', '487 sản phẩm OCOP', 'Chương trình OCOP', 'OCOP', 'chủ thể OCOP', 'sản phẩm OCOP 5', 'sản xuất', 'sản phẩm OCOP.', '120 sản phẩm OCOP', 'triển khai Chương trình OCOP', 'siêu thị', 'UBND tỉnh Thanh Hóa', 'sản phẩm tỉnh Thanh Hóa', 'tổ chức', 'truyền thông sản phẩm OCOP', 'tiêu thụ sản phẩm OCOP', 'giới thiệu sản phẩm OCOP', 'quảng bá sản phẩm OCOP', 'số lượng sản phẩm OCOP', '5 sản phẩm OCOP xuất khẩu', 'công nhận', 'chất lượng sản phẩm OCOP', 'sản phẩm OCOP Hà Nội', '23 sản phẩm OCOP xuất khẩu', 'quảng bá sản phẩm', '1 sản phẩm 5', 'sản phẩm OCOP xuất ngoại thu']"""""""
54,"""""""['sản phẩm OCOP', 'sản phẩm', 'giới thiệu', 'tỉnh', '76 sản phẩm', '18 sản phẩm', '54 sản phẩm', 'sản phẩm OCOP 4', 'giới thiệu sản phẩm OCOP', 'phát triển sản phẩm OCOP', 'tiêu thụ sản phẩm OCOP', 'sản phẩm OCOP tiêu biểu', 'sản phẩm OCOP. ..', 'ưu tiên sản phẩm', 'buôn bán sản phẩm OCOP', 'hoạt động giới thiệu sản phẩm', 'xúc tiến thương mại sản phẩm OCOP', 'cửa hàng giới thiệu sản phẩm OCOP', 'sản phẩm OCOP. .. “', 'phân hạng sản phẩm OCOP.', 'công nhận sản phẩm OCOP 3', 'sản phẩm nông nghiệp tiêu biểu', 'xúc tiến thương mại']"""""""
55,"""""""['chương trình', 'Chương trình', 'doanh nghiệp', 'sản phẩm', '“ Hành trình OCOP ”', 'hợp tác xã nông nghiệp', 'Lê Ngọc Huê', 'hàng', 'sản phẩm nông nghiệp', 'tiêu dùng', 'nông sản', 'sản phẩm OCOP', 'chương trình gameshow', 'chương trình Gameshow', 'Chương trình OCOP …', 'nông nghiệp Việt Nam']"""""""
56,"""""""['sản phẩm OCOP', 'sản phẩm', 'nông sản', 'tỉnh', 'tỉnh Hậu Giang', 'Hậu Giang', '92 sản phẩm', '42 sản phẩm', '11 sản phẩm', '44 sản phẩm']"""""""
57,"""""""['sản phẩm OCOP tỉnh Bình Thuận', 'sản phẩm chế biến', 'Bình Thuận', 'sản phẩm đặc sản', 'tỉnh Bình Thuận', 'sản phẩm', 'sản phẩm OCOP', 'cơ sở sản xuất', 'Thành phố Hồ Chí Minh', 'doanh nghiệp', '128 sản phẩm']"""""""
58,"""""""['sản phẩm OCOP', 'tỉnh Thanh Hóa', 'địa phương', 'tỉnh', 'sản xuất', 'sản phẩm đặc trưng', 'sản phẩm', 'quảng bá', 'Chương trình OCOP', 'sản phẩm 3', '15 sản phẩm', '479 sản phẩm OCOP', '104 sản phẩm OCOP', '1/3 sản phẩm OCOP', 'phát triển sản phẩm OCOP', 'tiêu dùng sản phẩm OCOP', 'sản phẩm OCOP đặc trưng', 'kết nối sản phẩm OCOP', 'triển khai Chương trình OCOP', 'giới thiệu sản phẩm OCOP', '4 sản phẩm OCOP 5', '13 sản phẩm OCOP 4', 'nâng', '120 sản phẩm OCOP trở', 'giới thiệu sản phẩm', 'sản phẩm OCOP. Chương trình OCOP', 'chất lượng sản phẩm', 'sản phẩm OCOP tỉnh Phú Thọ', '56 sản phẩm 4', '1 sản phẩm 5']"""""""
59,"""""""['Central Retail', 'sản phẩm OCOP', 'tỉnh', 'doanh nghiệp', 'tỉnh Ninh Thuận', 'Ninh Thuận', 'sản phẩm', 'đội ngũ thu mua', '100 sản phẩm']"""""""
60,"""""""['phiên chợ hàng Việt', 'hàng Việt', 'hải đảo', 'sản phẩm', 'hàng hóa', 'ngành Công Thương địa phương phối hợp tổ chức']"""""""
61,"""""""['hàng', 'hàng địa phương', 'sản phẩm', 'TikTok Shop', 'Tự hào hàng Việt', 'sáng tạo nội dung', 'TikTok', 'hàng Việt', 'nền tảng']"""""""
62,"""""""['sản phẩm mắc ca', 'mắc ca', 'sản phẩm', 'thị trường', 'Dịch vụ Sao Vàng Macca', 'Mắc ca', 'tỉnh', 'tiêu thụ', 'thành phẩm', 'Công ty TNHH Thương mại', 'Công ty', 'hạt mắc ca', 'sản phẩm mắc ca sấy', 'huyện Lâm Hà', 'dòng sản phẩm mắc ca', 'mắc ca tươi', 'chế biến', 'chế biến mắc ca', 'tiêu thụ sản phẩm mắc ca', 'tỉnh Lâm Đồng', 'tiêu thụ mắc ca', 'mắc ca xuất khẩu', 'hạt mắc ca Úc']"""""""
63,"""""""['lao động', 'đoàn viên', 'vận động', 'vận động “', 'viên chức', 'công nhân', 'Việt Nam ưu tiên', 'hàng Việt Nam ”', 'doanh nghiệp', 'hàng Việt', 'vận động đoàn viên', 'sản phẩm', 'Công đoàn', 'Liên đoàn Lao động TP. Hà Nội', 'hàng hóa', 'hàng không', 'lao động Thủ đô', 'hàng', 'dịch vụ Việt Nam', 'Công đoàn vận động đoàn viên', 'hàng kém chất lượng']"""""""
64,"""""""['sản phẩm', 'tỉnh', 'sản phẩm OCOP', 'doanh nghiệp', 'Hội Báo toàn quốc', 'sản phẩm OCOP', '152 sản phẩm', '30 sản phẩm', 'sản phẩm đặc trưng', '182 sản phẩm OCOP']"""""""
65,"""""""['gian hàng OCOP', 'sản phẩm OCOP', 'sản phẩm', 'hàng trăm', '64 gian hàng sản phẩm OCOP', 'gian hàng']"""""""
66,"""""""['Việt Nam ưu tiên', 'hàng Việt', 'hàng Việt Nam', 'hàng Việt Nam ”', 'tiêu dùng Việt Nam', 'vận động “', 'doanh nghiệp', 'hàng trực tuyến', 'vận động', 'chất lượng hàng Việt Nam', 'hàng hóa', 'Chương trình Hợp tác kiểm soát chất lượng hàng hóa', 'phát triển', '... hàng Việt', 'hàng Việt Nam triển khai', 'hàng Việt Nam thành phố', 'hàng Việt Nam phát biểu', 'chất lượng hàng hóa', 'sản phẩm', 'Việt sản xuất', 'người dân Việt Nam', 'sản xuất hàng hóa', 'doanh nghiệp Việt']"""""""
67,"""""""['Hoa Kỳ', 'nước tương', 'Nam Dương', 'sản phẩm', 'thị trường Hoa Kỳ', 'LNS', 'sản phẩm gia vị', 'Việt Nam', 'thị trường', 'Vũ Kim Hạnh', 'siêu thị', 'Công ty TNHH Thực phẩm Quốc tế Nam Dương', 'tiêu dùng', 'quốc gia']"""""""
68,"""""""['op', 'Saigon Co', 'sản phẩm', 'tỉnh', 'tiêu thụ', 'sản phẩm OCOP', 'đề xuất', 'cơ sở sản xuất']"""""""
69,"""""""['chất lượng sản phẩm', 'chất', 'sản xuất 22/3/2024', 'hàm lượng định lượng chỉ tiêu Methionine']"""""""
70,"""""""['Việt Nam', 'Tâm', 'tăng trưởng', 'doanh nghiệp', 'Việt Nam tưởng', 'thế giới Việt Nam', 'ảnh hưởng', 'Việt Nam ổn định', 'đầu tư']"""""""
71,"""""""['máy bay', 'sân bay', 'hạn chế bay', 'sân bay Tân Sơn Nhất', 'flycam', 'Cảng hàng không quốc tế Tân Sơn Nhất', 'an toàn', 'phối hợp', 'hạ cánh', 'Hãng bay', 'an toàn bay ...', 'chuyến bay cất']"""""""
72,"""""""['ô tô sản xuất', 'lệ phí trước bạ', 'lắp ráp', 'đề xuất', 'xe lắp ráp', 'sản xuất', 'ô tô', 'Tài chính đề xuất', 'ô tô nhập khẩu', 'thuế trước bạ', 'xe sản xuất', 'Tài chính', 'xe', 'ngành sản xuất ô tô', 'thị trường xe Việt', 'xe ô tô lắp ráp', 'ô tô lắp ráp', 'giá xe sản xuất', 'hàng sản xuất', 'thị trường ô tô sản xuất', 'phí trước bạ', 'lệ phí', 'rút đề xuất', 'TS. Lê Quốc Phương']"""""""
73,"""""""['thị trường', '1.240 điểm', 'nhịp hồi', 'ngành', 'cổ phiếu', 'mã', 'chỉ số VN-Index', 'phiên giao dịch', 'phiên', 'kiểm định', 'Công ty chứng khoán Rồng Việt', 'thị trường hôm nay', 'thị trường trải', 'thị trường Thị trường chứng khoán hôm nay 24/7/2024 Thị trường chứng khoán hôm nay', 'Nhận định thị trường chứng khoán', 'cấu trúc thị trường', 'giúp thị trường hồi phục', 'Thị trường hôm nay', 'điểm số']"""""""
74,"""""""['sắn', 'xuất khẩu', 'sản phẩm', 'sắn Việt Nam', 'thị trường Trung Quốc', 'xuất khẩu sắn', 'Trung Quốc', 'thị trường', 'Việt Nam', 'kim ngạch xuất khẩu', 'nhập khẩu', 'ngành sắn', 'tranh xuất khẩu sắn', 'sắn thu', 'thị trường xuất khẩu']"""""""
75,"""""""['xuất khẩu', 'kỳ', 'đầu', '6', 'xuất khẩu cá ngừ', 'Việt Nam', 'thị trường', 'Xuất khẩu thủy sản', 'cá tra Việt Nam', 'xuất khẩu tôm hùm', '6/2024', 'kim ngạch xuất khẩu cá tra', 'kỳ năm ngoái', 'cá ngừ', '2024', '2023', 'khối thị trường', 'xuất khẩu tôm']"""""""
